Shop;DayOfYear;TimePeriod;pharm_ItemsSold;pharm_Revenue
27;53;16;19;58.53
27;92;16;19;54.94
27;61;16;19;45.63
27;9;16;19;68.68
27;13;16;19;54.51
27;19;16;19;68.07
21;62;16;19;44.03
17;50;16;19;62.51
17;2;16;19;49.78
17;70;16;19;74.34
17;9;16;19;60.47
17;16;16;19;53.35
17;55;16;19;57.32
17;20;16;19;54.52
20;65;16;19;69.25
20;58;16;19;67.81
20;1;16;19;52.82
20;86;16;19;68.5
20;75;16;19;71.68
20;26;16;19;46.78
25;70;16;19;59.9
25;55;16;19;53.77
25;14;16;19;49
25;23;16;19;77.41
25;44;16;19;76.46
25;89;16;19;57.71
23;89;16;19;71.9
23;45;16;19;57.68
23;87;16;19;65.75
23;40;16;19;53.6
23;51;16;19;60.62
38;12;16;19;77.17
36;62;16;19;65.62
36;67;16;19;83.68
36;4;16;19;58.93
36;14;16;19;61.54
37;67;16;19;49.35
37;72;16;19;51.38
34;44;16;19;53.6
34;10;16;19;48.61
34;36;16;19;68.65
18;79;16;19;91.23
18;14;16;19;43.16
24;38;16;19;59.22
24;8;16;19;47.92
24;16;16;19;62.11
30;64;16;19;39.89
37;71;16;19;60.86
47;55;16;19;71.67
36;18;16;19;68.6
28;77;16;19;65.86
28;1;16;19;59.1
36;54;16;19;42.49
36;55;16;19;71.84
47;73;16;19;64.26
35;16;16;19;47.88
35;64;16;19;60.85
26;14;16;19;54.85
33;74;16;19;72.89
33;1;16;19;55.69
31;3;16;19;56.14
19;58;16;19;64.28
19;86;16;19;51.21
19;71;16;19;75.37
19;32;16;19;64.84
19;39;16;19;58.22
19;92;16;19;51.49
19;14;16;19;71.04
19;60;16;19;51.75
28;90;16;19;72.18
47;77;16;19;59.1
47;33;16;19;58.89
18;50;16;19;48.41
34;50;16;19;51.24
34;33;16;19;40.2
34;23;16;19;75.79
27;51;16;15;54.42
27;24;16;15;50.53
27;62;16;15;46.77
27;74;16;15;50.43
27;2;16;15;45.35
21;84;16;15;50
21;69;16;15;48.21
21;8;16;15;40.39
21;35;16;15;41.88
17;49;16;15;58.18
17;42;16;15;56.62
17;11;16;15;39.08
20;66;16;15;61.66
20;89;16;15;63.75
20;28;16;15;57.41
20;38;16;15;42.54
20;25;16;15;48.01
25;39;16;15;49.07
25;49;16;15;50.14
25;78;16;15;50.8
25;10;16;15;42.91
25;74;16;15;41.89
25;16;16;15;49.31
25;21;16;15;59.58
25;87;16;15;51.07
25;63;16;15;45.16
23;54;16;15;37.71
23;11;16;15;43.8
23;50;16;15;52.26
23;86;16;15;37.48
38;40;16;15;34.16
38;60;16;15;49.17
38;43;16;15;50.3
38;4;16;15;47.28
38;24;16;15;63.14
36;73;16;15;38.31
36;46;16;15;48.97
36;47;16;15;31.43
36;88;16;15;55.04
37;10;16;15;50.08
37;11;16;15;47.07
34;45;16;15;60.24
34;34;16;15;46.68
18;71;16;15;47.56
24;53;16;15;44.82
24;85;16;15;47.76
24;89;16;15;57.1
24;24;16;15;34.37
37;76;16;15;48.58
37;80;16;15;29.28
37;47;16;15;43
36;72;16;15;30.67
36;9;16;15;37.21
22;58;16;15;49.4
35;92;16;15;56.75
35;58;16;15;59.6
26;62;16;15;47.22
26;73;16;15;37.61
26;90;16;15;42.24
26;7;16;15;46.8
26;37;16;15;30.6
33;78;16;15;59.1
33;59;16;15;39.07
31;77;16;15;57.09
19;69;16;15;48
19;77;16;15;52.8
19;5;16;15;47.83
47;59;16;15;53.35
18;2;16;15;50.4
34;9;16;15;46.84
34;37;16;15;26.14
27;44;16;24;58.45
27;63;16;24;76.12
27;71;16;24;60.9
27;80;16;24;74.52
27;11;16;24;89.38
27;18;16;24;65.66
27;55;16;24;86.66
21;31;16;24;88.81
21;71;16;24;65.32
21;77;16;24;72.04
21;90;16;24;80.9
21;60;16;24;60.32
21;70;16;24;85.33
17;14;16;24;59.24
17;36;16;24;66.33
17;58;16;24;89.63
20;34;16;24;54.57
20;44;16;24;69
20;57;16;24;80.85
20;74;16;24;81.49
20;5;16;24;81.86
20;3;16;24;82.76
25;31;16;24;64.8
25;6;16;24;79.71
25;81;16;24;79.36
25;36;16;24;72.03
25;12;16;24;64.75
23;43;16;24;86.92
23;30;16;24;67.32
36;74;16;24;70.17
36;86;16;24;95.3
34;55;16;24;72.39
24;72;16;24;81.67
24;58;16;24;35.38
24;80;16;24;58.57
24;82;16;24;61.99
24;36;16;24;63.76
47;20;16;24;74.67
36;84;16;24;60.31
36;42;16;24;50.83
36;11;16;24;67.27
36;20;16;24;75.3
28;43;16;24;58.04
28;28;16;24;84.65
47;66;16;24;71.58
47;9;16;24;57.86
22;92;16;24;70.4
29;63;16;24;85.27
35;65;16;24;93.15
35;8;16;24;90.46
26;54;16;24;61.22
26;56;16;24;79.33
26;60;16;24;80.34
26;31;16;24;61.19
33;85;16;24;50.34
33;90;16;24;99.32
33;65;16;24;83.71
33;58;16;24;67.91
33;84;16;24;92.13
33;91;16;24;83.29
33;15;16;24;60.84
31;71;16;24;52.22
31;45;16;24;93.74
31;6;16;24;77.78
31;10;16;24;54.62
31;57;16;24;94.22
31;2;16;24;72.54
19;24;16;24;84.37
28;47;16;24;69.62
47;57;16;24;52.18
27;43;16;20;65.45
27;84;16;20;49.88
27;91;16;20;72.4
27;59;16;20;76.63
27;28;16;20;67.01
27;72;16;20;61.28
27;1;16;20;52.76
27;90;16;20;57.7
21;86;16;20;71.08
21;56;16;20;81.89
17;66;16;20;62.12
17;5;16;20;62.44
17;15;16;20;62.05
17;54;16;20;52
17;43;16;20;42.7
17;69;16;20;49.01
20;85;16;20;64.76
20;9;16;20;86.12
20;18;16;20;52.8
20;32;16;20;59.91
20;45;16;20;52.5
20;67;16;20;44.39
25;75;16;20;59.51
25;41;16;20;70.04
25;19;16;20;61.46
25;26;16;20;61.93
25;84;16;20;56.11
25;83;16;20;67.78
23;3;16;20;57.03
23;14;16;20;63.24
23;35;16;20;68.06
38;75;16;20;61.68
36;69;16;20;34.14
37;81;16;20;62.42
34;69;16;20;71.31
34;71;16;20;83.71
18;44;16;20;60.23
18;11;16;20;41.89
18;33;16;20;78.78
24;79;16;20;66.14
24;9;16;20;59.56
37;33;16;20;46.78
36;81;16;20;58.11
36;41;16;20;56.73
36;16;16;20;57.7
28;78;16;20;63.11
28;56;16;20;59.65
36;1;16;20;56.75
47;92;16;20;60.97
35;90;16;20;56.23
35;30;16;20;63.93
26;48;16;20;58.74
33;55;16;20;71.98
33;56;16;20;38.33
33;76;16;20;49.65
33;80;16;20;42.79
33;50;16;20;69.75
33;81;16;20;69.96
31;69;16;20;73.75
31;28;16;20;54.93
31;81;16;20;37.85
31;83;16;20;65.1
31;42;16;20;88.72
